echop,noise_0.009999999776482582_ln_0.0,noise_0.009999999776482582_ln_0.007499999832361937,noise_0.009999999776482582_ln_0.014999999664723873,noise_0.009999999776482582_ln_0.022499999031424522,noise_0.009999999776482582_ln_0.029999999329447746,noise_0.009999999776482582_ln_0.03749999776482582,noise_0.009999999776482582_ln_0.044999998062849045,noise_0.009999999776482582_ln_0.05249999836087227,noise_0.009999999776482582_ln_0.05999999865889549,noise_0.009999999776482582_ln_0.06749999523162842,noise_0.009999999776482582_ln_0.07499999552965164,noise_0.009999999776482582_ln_0.08249999582767487,noise_0.009999999776482582_ln_0.08999999612569809,noise_0.009999999776482582_ln_0.09749999642372131,noise_0.017500000074505806_ln_0.0,noise_0.017500000074505806_ln_0.007499999832361937,noise_0.017500000074505806_ln_0.014999999664723873,noise_0.017500000074505806_ln_0.022499999031424522,noise_0.017500000074505806_ln_0.029999999329447746,noise_0.017500000074505806_ln_0.03749999776482582,noise_0.017500000074505806_ln_0.044999998062849045,noise_0.017500000074505806_ln_0.05249999836087227,noise_0.017500000074505806_ln_0.05999999865889549,noise_0.017500000074505806_ln_0.06749999523162842,noise_0.017500000074505806_ln_0.07499999552965164,noise_0.017500000074505806_ln_0.08249999582767487,noise_0.017500000074505806_ln_0.08999999612569809,noise_0.017500000074505806_ln_0.09749999642372131,noise_0.02500000037252903_ln_0.0,noise_0.02500000037252903_ln_0.007499999832361937,noise_0.02500000037252903_ln_0.014999999664723873,noise_0.02500000037252903_ln_0.022499999031424522,noise_0.02500000037252903_ln_0.029999999329447746,noise_0.02500000037252903_ln_0.03749999776482582,noise_0.02500000037252903_ln_0.044999998062849045,noise_0.02500000037252903_ln_0.05249999836087227,noise_0.02500000037252903_ln_0.05999999865889549,noise_0.02500000037252903_ln_0.06749999523162842,noise_0.02500000037252903_ln_0.07499999552965164,noise_0.02500000037252903_ln_0.08249999582767487,noise_0.02500000037252903_ln_0.08999999612569809,noise_0.02500000037252903_ln_0.09749999642372131,noise_0.032499998807907104_ln_0.0,noise_0.032499998807907104_ln_0.007499999832361937,noise_0.032499998807907104_ln_0.014999999664723873,noise_0.032499998807907104_ln_0.022499999031424522,noise_0.032499998807907104_ln_0.029999999329447746,noise_0.032499998807907104_ln_0.03749999776482582,noise_0.032499998807907104_ln_0.044999998062849045,noise_0.032499998807907104_ln_0.05249999836087227,noise_0.032499998807907104_ln_0.05999999865889549,noise_0.032499998807907104_ln_0.06749999523162842,noise_0.032499998807907104_ln_0.07499999552965164,noise_0.032499998807907104_ln_0.08249999582767487,noise_0.032499998807907104_ln_0.08999999612569809,noise_0.032499998807907104_ln_0.09749999642372131,noise_0.03999999910593033_ln_0.0,noise_0.03999999910593033_ln_0.007499999832361937,noise_0.03999999910593033_ln_0.014999999664723873,noise_0.03999999910593033_ln_0.022499999031424522,noise_0.03999999910593033_ln_0.029999999329447746,noise_0.03999999910593033_ln_0.03749999776482582,noise_0.03999999910593033_ln_0.044999998062849045,noise_0.03999999910593033_ln_0.05249999836087227,noise_0.03999999910593033_ln_0.05999999865889549,noise_0.03999999910593033_ln_0.06749999523162842,noise_0.03999999910593033_ln_0.07499999552965164,noise_0.03999999910593033_ln_0.08249999582767487,noise_0.03999999910593033_ln_0.08999999612569809,noise_0.03999999910593033_ln_0.09749999642372131,noise_0.04749999940395355_ln_0.0,noise_0.04749999940395355_ln_0.007499999832361937,noise_0.04749999940395355_ln_0.014999999664723873,noise_0.04749999940395355_ln_0.022499999031424522,noise_0.04749999940395355_ln_0.029999999329447746,noise_0.04749999940395355_ln_0.03749999776482582,noise_0.04749999940395355_ln_0.044999998062849045,noise_0.04749999940395355_ln_0.05249999836087227,noise_0.04749999940395355_ln_0.05999999865889549,noise_0.04749999940395355_ln_0.06749999523162842,noise_0.04749999940395355_ln_0.07499999552965164,noise_0.04749999940395355_ln_0.08249999582767487,noise_0.04749999940395355_ln_0.08999999612569809,noise_0.04749999940395355_ln_0.09749999642372131
20,"3,8149152","3,504861","3,4748933","3,4613128","3,452393","3,4967816","3,5271697","3,5926752","3,6312535","3,7332","3,8944995","3,9214852","4,0064473","4,363253","3,8149152","3,504132","3,4760854","3,4609923","3,4568698","3,4949813","3,5244107","3,5970314","3,6247623","3,7066398","3,8112333","4,04779","4,041444","4,5767403","3,8149152","3,5033267","3,4724565","3,4601824","3,4520733","3,493507","3,5231712","3,5872905","3,62102","3,659144","3,765791","3,9653685","4,007456","4,3769054","3,8149152","3,5008488","3,471335","3,4571147","3,4593627","3,494569","3,5246222","3,6025465","3,6263056","3,7358816","3,9298487","3,9190238","4,0954485","4,180665","3,8149152","3,5014303","3,475108","3,4537416","3,449502","3,4972427","3,5136006","3,5999353","3,6277225","3,7034764","3,8100233","3,9420204","4,124472","4,4296894","3,8149152","3,5004497","3,4718788","3,4594898","3,4553866","3,4975057","3,510461","3,5814123","3,631947","3,7310379","3,7324657","4,0079527","3,9831963","4,844936"
22,"3,8149152","3,5010073","3,478637","3,4670293","3,459531","3,5052664","3,5380907","3,602268","3,6410677","3,7453299","3,9049819","3,932803","4,01957","4,3749466","3,8149152","3,4996207","3,4797683","3,4670107","3,4638848","3,5041304","3,5345745","3,6055856","3,6330523","3,7170987","3,8199887","4,056734","4,053534","4,5825753","3,8149152","3,498963","3,4763808","3,4665124","3,4593604","3,5022032","3,5327466","3,5973508","3,630844","3,6689494","3,7746472","3,981105","4,0238905","4,3892155","3,8149152","3,4971156","3,473687","3,4626663","3,466495","3,503763","3,5343144","3,6123388","3,6350877","3,7466774","3,9428792","3,9342666","4,1120872","4,1905956","3,8149152","3,4972618","3,478111","3,4585433","3,457121","3,5062597","3,5246694","3,6091971","3,6364222","3,713874","3,817555","3,9537466","4,137023","4,440999","3,8149152","3,4959908","3,4750059","3,4652393","3,4627035","3,506687","3,5192544","3,5905523","3,6427553","3,7421496","3,7427857","4,0170703","3,9951985","4,85034"
24,"3,8149152","3,4984608","3,4819436","3,4728835","3,4665937","3,5139875","3,5479124","3,6115198","3,650579","3,7563372","3,9147289","3,9433682","4,0316286","4,385874","3,8149152","3,497543","3,4836116","3,4733279","3,471296","3,513205","3,5440562","3,6141403","3,6417534","3,7269673","3,8287628","4,065832","4,065137","4,589984","3,8149152","3,4966416","3,4807372","3,472145","3,466381","3,5107746","3,5418274","3,606608","3,6405356","3,6787739","3,7835457","3,9952185","4,038657","4,4006786","3,8149152","3,4947677","3,4767396","3,4688995","3,4734836","3,5119727","3,544043","3,6220815","3,6439548","3,756625","3,9541118","3,9477108","4,127049","4,199781","3,8149152","3,494695","3,4820855","3,4651585","3,4638698","3,5153403","3,5347056","3,6186638","3,645209","3,7243042","3,8255181","3,9645677","4,149372","4,4516215","3,8149152","3,4941094","3,4787776","3,4694338","3,4694188","3,515289","3,528164","3,599825","3,653206","3,7527192","3,752416","4,025769","4,0058184","4,857847"
26,"3,8149152","3,4971905","3,4854946","3,4791887","3,4735692","3,5220518","3,556652","3,6201847","3,6598096","3,766538","3,9236152","3,9533832","4,042955","4,396343","3,8149152","3,496176","3,4869132","3,4793541","3,477987","3,5216205","3,5534213","3,6225498","3,6504052","3,7364964","3,8371446","4,074648","4,0761294","4,598206","3,8149152","3,494891","3,484321","3,478538","3,4728215","3,5190465","3,5504484","3,6150503","3,6499627","3,6878808","3,7922788","4,008541","4,0521674","4,410911","3,8149152","3,4932973","3,4807456","3,4753008","3,4807732","3,5207672","3,5532773","3,6315923","3,6527808","3,7655458","3,9644175","3,9600723","4,1410437","4,2087393","3,8149152","3,493022","3,4855485","3,4712875","3,4707274","3,5240192","3,5443146","3,6272118","3,653656","3,7340546","3,8325043","3,9745443","4,161032","4,46158","3,8149152","3,493777","3,4825919","3,4751968","3,476821","3,5242584","3,5379138","3,6093795","3,6638288","3,7618024","3,7617755","4,0338902","4,015755","4,865855"
28,"3,8149152","3,4968438","3,489133","3,485352","3,4802961","3,5298922","3,5651276","3,628529","3,6686277","3,776218","3,9318657","3,9625225","4,0534797","4,4063144","3,8149152","3,495867","3,4911675","3,48516","3,4846144","3,5296175","3,5621243","3,630834","3,6588588","3,745479","3,8453808","4,0830197","4,0863214","4,6064873","3,8149152","3,4944315","3,4885592","3,4838722","3,4794784","3,5270476","3,5591056","3,623471","3,6589112","3,6966157","3,8009293","4,020324","4,0647225","4,420996","3,8149152","3,49273","3,4849882","3,480515","3,4871001","3,5284343","3,5617268","3,6401894","3,6613243","3,7735693","3,9744017","3,971565","4,1539235","4,2173166","3,8149152","3,4924226","3,4897704","3,4775934","3,4770677","3,5315132","3,5541205","3,6355283","3,6627088","3,7430294","3,83947","3,9839244","4,171686","4,4709024","3,8149152","3,492679","3,4863837","3,480376","3,4826772","3,5317657","3,5463333","3,618359","3,6729834","3,7711277","3,77028","4,042204","4,0251436","4,8735423"
30,"3,8149152","3,4967246","3,4937444","3,490953","3,4870183","3,537619","3,5732908","3,636392","3,677254","3,7855616","3,9395733","3,9710777","4,0629883","4,416013","3,8149152","3,496109","3,4954515","3,4908845","3,4914095","3,5374858","3,5707512","3,6388469","3,6668916","3,754136","3,8532274","4,0912075","4,0962634","4,6144943","3,8149152","3,4940004","3,492496","3,490268","3,4859781","3,5343602","3,5668495","3,631827","3,6679335","3,7047281","3,809282","4,0314054","4,0765414","4,430301","3,8149152","3,4922028","3,4893503","3,486221","3,4932535","3,536571","3,56963","3,6482778","3,6692905","3,781238","3,9833267","3,9819508","4,1657033","4,2256765","3,8149152","3,492557","3,4931715","3,4831734","3,4833815","3,539159","3,562507","3,643797","3,6701427","3,7514305","3,8460174","3,9929621","4,1822186","4,479605","3,8149152","3,4920504","3,4901211","3,4859686","3,4892104","3,5400937","3,5542529","3,6268222","3,6820924","3,7795122","3,779246","4,0495496","4,0341215","4,8816085"
32,"3,8149152","3,4968946","3,497794","3,4967372","3,4933946","3,544978","3,58134","3,64386","3,6853428","3,7941556","3,9470222","3,9792283","4,0721316","4,4252787","3,8149152","3,4964716","3,4999325","3,496394","3,4979289","3,5446243","3,578856","3,646822","3,6747499","3,7623155","3,8608823","4,098914","4,1058784","4,622341","3,8149152","3,4945202","3,496521","3,496608","3,4916677","3,5409598","3,5749633","3,6393588","3,676516","3,7127287","3,817311","4,04166","4,0878763","4,4394207","3,8149152","3,492362","3,4929998","3,4913654","3,4992516","3,5442364","3,5774257","3,656226","3,6773922","3,788158","3,9917946","3,9917386","4,176839","4,233876","3,8149152","3,4926748","3,4973035","3,4885843","3,4894872","3,546469","3,5708647","3,6520748","3,6778996","3,7595336","3,8527858","4,001467","4,191755","4,487648","3,8149152","3,492373","3,494207","3,4913528","3,4958558","3,5475867","3,5619156","3,6348193","3,6907172","3,7879524","3,7869942","4,056697","4,0424967","4,8894715"
34,"3,8149152","3,4971416","3,5021353","3,5020607","3,4996076","3,5520074","3,5891426","3,6511922","3,693147","3,8026283","3,9540236","3,9871633","4,081222","4,4341774","3,8149152","3,4969482","3,50407","3,5019526","3,5044944","3,551564","3,5867667","3,6544147","3,6823618","3,7699656","3,8682032","4,106142","4,114976","4,629851","3,8149152","3,4948487","3,5006244","3,5024798","3,4979615","3,547601","3,5823858","3,646747","3,6847224","3,7203279","3,8251574","4,050818","4,098595","4,44788","3,8149152","3,4924996","3,497906","3,496848","3,5051913","3,5513928","3,58519","3,6635516","3,685082","3,7948442","4,000013","4,0011387","4,1873775","4,241738","3,8149152","3,4932039","3,5010405","3,4936078","3,4955025","3,55336","3,5786731","3,6594138","3,6855893","3,7676716","3,8593674","4,009759","4,200753","4,4950023","3,8149152","3,4924304","3,4983275","3,49742","3,5022125","3,5547886","3,5692775","3,642772","3,6987627","3,7960691","3,7943153","4,0634904","4,0505557","4,896671"
36,"3,8149152","3,4978943","3,5060833","3,5072255","3,5056002","3,5591218","3,596616","3,6581736","3,7007146","3,8107176","3,9606545","3,9946425","4,0895762","4,442747","3,8149152","3,4977703","3,5083246","3,5072873","3,5108309","3,5585551","3,5943818","3,661828","3,689555","3,777524","3,8751905","4,113084","4,1238923","4,637031","3,8149152","3,4957068","3,5050132","3,5078666","3,5040407","3,5545573","3,5896292","3,6538858","3,6923964","3,7276413","3,8325799","4,059788","4,108534","4,4558983","3,8149152","3,493115","3,5013878","3,501744","3,5115469","3,5579808","3,5926058","3,6710851","3,6923976","3,8013325","4,0081115","4,0099235","4,197337","4,249261","3,8149152","3,4941995","3,5049453","3,4984138","3,5015354","3,559804","3,5862467","3,6667917","3,6928873","3,7753708","3,865593","4,0171704","4,2094903","4,5022736","3,8149152","3,492632","3,5029268","3,5021193","3,5080566","3,5614407","3,57648","3,6503043","3,7068152","3,8036907","3,8015103","4,069992","4,0579796","4,903341"
38,"3,8149152","3,4988067","3,510508","3,5121357","3,5114143","3,5659754","3,6037943","3,665026","3,708027","3,8184052","3,9671428","4,001867","4,0975356","4,4508796","3,8149152","3,499114","3,5126154","3,5125816","3,5169404","3,565062","3,6017654","3,668867","3,6963868","3,7846198","3,8818016","4,119554","4,1323647","4,6440015","3,8149152","3,496778","3,5088344","3,5131288","3,509714","3,561283","3,5967488","3,6607993","3,6995428","3,7348092","3,8395457","4,068202","4,1179986","4,46374","3,8149152","3,4938796","3,505487","3,5069141","3,5173576","3,5645669","3,5998197","3,67811","3,6996405","3,807524","4,0153723","4,0182624","4,2067676","4,256591","3,8149152","3,4947627","3,5096436","3,503139","3,507556","3,5662677","3,5936558","3,673813","3,7000325","3,782464","3,8716156","4,024459","4,217653","4,509249","3,8149152","3,4942977","3,50704","3,5071642","3,5137362","3,5677373","3,5835078","3,6575212","3,7140138","3,8109052","3,808551","4,0762787","4,0651665","4,9100227"
