instance,noise_0.01,noise_0.015,noise_0.02,noise_0.025,noise_0.03,noise_0.035
20,3.954191,3.956407,3.9645805,3.9447153,3.9616473,3.9460528
40,5.0513663,5.0351057,5.1695633,5.030848,5.0159745,4.757096
60,5.101871,5.0816708,11.815557,5.3808227,6.874547,6.3030915
80,4.739962,4.881224,34183.57,8.394256,87.78066,5.951589
100,4.2628937,4.5594597,nan,15.709161,nan,5.794313
120,4.2910304,4.568487,nan,nan,nan,4.8636985
140,4.3143015,4.584945,nan,nan,nan,4.8563123
160,4.335232,4.600659,nan,nan,nan,4.862921
