instance,noise_0.01,noise_0.015,noise_0.02,noise_0.025,noise_0.03,noise_0.035
20,3.8149147,3.8149147,3.8149147,3.8149147,3.8149147,3.8149147
40,3.8149147,3.8149147,3.8149147,3.8149147,3.8149147,3.8149147
60,3.8149147,3.8149147,3.8149147,3.8149147,3.8149147,3.8149147
80,3.8149147,3.8149147,3.8149147,3.8149147,3.8149147,3.8149147
100,3.8149147,3.8149147,3.8149147,3.8149147,3.8149147,3.8149147
120,3.8149147,3.8149147,3.8149147,3.8149147,3.8149147,3.8149147
140,3.8149147,3.8149147,3.8149147,3.8149147,3.8149147,3.8149147
160,3.8149147,3.8149147,3.8149147,3.8149147,3.8149147,3.8149147
