instance,noise_0.01,noise_0.015,noise_0.02,noise_0.025,noise_0.03,noise_0.035
20,3.7337263,3.7273889,3.7279804,3.726617,3.7318535,3.725604
40,3.8216684,3.808717,3.7968671,3.807105,3.7800913,3.8226354
60,3.8404431,3.8628116,3.8606765,3.883342,3.7930217,3.8838816
80,3.5267913,3.5423908,3.535042,3.5241988,3.530132,3.521468
100,3.5455532,3.5570166,3.5533361,3.543661,3.5568304,3.53985
120,3.5662692,3.5759926,3.5746155,3.5656147,3.5801065,3.5620532
140,3.5854473,3.5948756,3.5941024,3.586459,3.601387,3.5817482
160,3.6028636,3.6127346,3.6121337,3.6041138,3.6201942,3.6002588
